Alex,Cappuccinno,alcap@gmail.com,2014,CS,involved in Mocha project while at Cama State
Blake,SMITH,plop@gmail.com,2013,IT,involved in KayWhy project while at Cama State 
Turd,BROWN,crapperson@gmail.com,2015,ART,involved in Manhattan project while at Cama State 
Broph,JOHNSON,cno@gmail.com,2011,CS,involved in Alacrity project while at Cama State 
Fooob,JONES,dingles@gmail.com,2012,CS,involved in Domino project while at Cama State 
Pherb,WILLIAMS,beatle@gmail.com,2014,Film,involved in DoeppelSchlag project while at Cama State 
Missy,DAVIS,juicyj@gmail.com,2014,Math,involved in Drumbeat project while at Cama State 
Cathy,MILLER,alpaca@gmail.com,2014,Math,involved in Deadlight project while at Cama State 
Farquad,WILSON,quakers@gmail.com,2012,Drinking,involved in Foxchase project while at Cama State 
Shreck,TAYLOR,oatmeal@gmail.com,2013,CS,involved in Lucid project while at Cama State 
Monkey,CLARK,hotdog@gmail.com,2013,Zinging,involved in Ostfront project while at Cama State 
Olivia,WHITE,makeboomboom@gmail.com,2013,IT,involved in Goodwood project while at Cama State 
Maynard,MOORE,sheepshaver@gmail.com,2011,CS,involved in Dervish project while at Cama State 
Gus,THOMPSON,aa@gmail.com,2011,CS,involved in Mocha project while at Cama State 
Oliver,ALLEN,lucky7@gmail.com,2012,Art,involved in Paderborn project while at Cama State 
Nuglet,MARTIN,zztop@gmail.com,2011,Art,involved in Potluck project while at Cama State 
Kurt,HALL,coffee@gmail.com,2014,IT,involved in Kornroast project while at Cama State 
Drake,ADAMS,nopedynope@gmail.com,2014,Math,involved in Primrose project while at Cama State 
Eric,THOMAS,billythe@gmail.com,2013,Math,involved in Tigerclaw project while at Cama State 
Chelsey,WRIGHT,A@gmail.com,2009,Baskets,involved in Roundel project while at Cama State 
Jimmy,BAKER,ininout@gmail.com,2004,Baskets,involved in Regenbogen project while at Cama State 
LaFontaine,WALKER,fortunate@gmail.com,2010,Baskets,involved in Verschwiendigskeitbewegung project while at Cama State 
Bill,Dotrive,islands@gmail.com,2012,Yoga,involved in Sportpalast project while at Cama State 
Dale,Gribble,bugs@gmail.com,2011,Yoga,involved in Source project while at Cama State 
Hank,Hill,beer@gmail.com,2013,Yoga,involved in Dota project while at Cama State 
